,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000006715,2215.83037,0.046415606,0.11479885,0.652290716,0.864614494
ENSG00000006740,35.5866306,0.004251286,0.215227817,0.973716278,0.992943939
ENSG00000006744,923.8197951,-0.141244876,0.100501547,0.1260772,0.366106849
ENSG00000006747,1.907190216,-0.003738166,0.252779957,0.949073289,NA
ENSG00000006756,438.6428035,-0.012938799,0.155770333,0.915973697,0.975183374
ENSG00000006757,148.0032099,-0.009469787,0.143839611,0.935887439,0.980855459
ENSG00000006788,10.25267019,-0.198105764,0.382399209,0.003054275,0.025060828
ENSG00000006831,1093.955025,-0.224972228,0.080050388,0.003033736,0.024937477
ENSG00000006837,11.65713404,0.249128593,0.334633163,0.094775611,0.307107611
ENSG00000007001,1.795125348,0.049237361,0.261439029,0.343191486,NA
ENSG00000007038,1.690184157,-0.003349821,0.256806399,0.932620284,NA
ENSG00000007047,781.5104696,-0.079614512,0.091883536,0.353213255,0.656324569
ENSG00000007080,649.4700367,-0.193682009,0.146050075,0.113169082,0.34236467
ENSG00000007168,3290.289031,-0.10087464,0.064886203,0.107761358,0.332988661
ENSG00000007171,1.481014267,0.013625149,0.257102361,0.7446386,NA
ENSG00000007202,4253.514858,0.001610627,0.09557095,0.989347271,0.997384926
ENSG00000007237,426.9983631,0.075910259,0.267785362,NA,NA
ENSG00000007255,128.9542712,-0.182307063,0.17803375,0.179701022,0.451611489
ENSG00000007312,2.078490662,-0.020799579,0.256842208,0.653810617,NA
ENSG00000007341,154.0330554,-0.093855325,0.183735425,0.480870238,0.758746395
ENSG00000007372,32.21181498,-0.099153026,0.222780717,0.44435846,0.731399797
ENSG00000007376,250.9934224,-0.077408072,0.163082864,0.544220195,0.800295233
ENSG00000007384,1827.462451,-0.056957425,0.123873614,0.599893464,0.834288009
ENSG00000007392,669.4076462,0.157295651,0.088033384,0.056895769,0.219408396
ENSG00000007402,17.90990517,-0.10169935,0.255564451,0.346385936,0.650610123
ENSG00000007516,8.152711454,-0.07247417,0.243948898,0.496273369,0.770349578
ENSG00000007520,451.9539305,-0.089001876,0.12568794,0.417775848,0.711116375
ENSG00000007541,647.0335736,-0.12776269,0.133552259,0.26001601,0.557328046
ENSG00000007545,210.7397382,-0.077840141,0.112168884,0.440553459,0.728228084
ENSG00000007866,1619.432981,-0.529771672,0.16551076,0.000225554,0.003015765
ENSG00000007923,614.1203697,-0.027072204,0.117330821,0.795077814,0.931579248
ENSG00000007933,858.9503611,-0.019109081,0.252195441,0.761434171,0.917458292
ENSG00000007944,339.6341608,0.443769764,0.147312953,0.000594505,0.006763529
ENSG00000007952,9.808740013,-0.146180606,0.272087663,0.226851699,0.517877045
ENSG00000008018,1520.176285,-0.037329556,0.09451934,0.670589627,0.876242749
ENSG00000008056,18.05216723,-0.23565978,0.309741603,0.112748779,0.34169783
ENSG00000008083,301.2393734,-0.398675902,0.140738702,0.00125142,0.012416194
ENSG00000008086,102.4795024,0.107443049,0.189241776,0.432005231,0.722365328
ENSG00000008118,5.826749609,0.020057597,0.246282375,0.807444578,0.935927299
ENSG00000008128,22.30705202,0.054083431,0.231699328,0.634464258,0.854788789
ENSG00000008130,1664.428955,-0.748258453,0.147881958,4.44E-08,1.73E-06
ENSG00000008226,5.996142203,-0.005331078,0.246240222,0.944629196,0.983236115
ENSG00000008256,3716.492352,-1.137612306,0.209382028,3.74E-09,1.87E-07
ENSG00000008277,18.0652582,0.102689762,0.228767322,0.424471405,0.716162083
ENSG00000008282,1964.583746,-0.241683947,0.122604797,0.025911572,0.126909964
ENSG00000008283,521.0875515,-0.010391117,0.111491001,0.91747587,0.975541735
ENSG00000008294,2902.36017,0.019296181,0.099107671,0.781826889,0.92574078
ENSG00000008300,87.3130548,-0.15054224,0.200419302,0.281128759,0.58226304
ENSG00000008311,721.9221992,-1.059048989,0.172731201,6.41E-11,4.80E-09
