query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
downregulated	FALSE	1	114	989	8	0.00808897876643074	0.0701754385964912	KEGG:05164	KEGG	Influenza A	17242	461
downregulated	FALSE	1	177	989	17	0.0171890798786653	0.096045197740113	KEGG:05163	KEGG	Human cytomegalovirus infection	17242	460
downregulated	FALSE	1	99	989	9	0.00910010111223458	0.0909090909090909	KEGG:05162	KEGG	Measles	17242	459
downregulated	FALSE	1	134	989	12	0.0121334681496461	0.0895522388059701	KEGG:05161	KEGG	Hepatitis B	17242	458
downregulated	FALSE	1	114	989	9	0.00910010111223458	0.0789473684210526	KEGG:05160	KEGG	Hepatitis C	17242	457
downregulated	FALSE	1	118	989	9	0.00910010111223458	0.076271186440678	KEGG:05152	KEGG	Tuberculosis	17242	456
downregulated	FALSE	1	84	989	8	0.00808897876643074	0.0952380952380952	KEGG:05145	KEGG	Toxoplasmosis	17242	453
downregulated	FALSE	1	86	989	7	0.0070778564206269	0.0813953488372093	KEGG:05215	KEGG	Prostate cancer	17242	482
downregulated	FALSE	1	65	989	8	0.00808897876643074	0.123076923076923	KEGG:05214	KEGG	Glioma	17242	481
downregulated	FALSE	1	71	989	8	0.00808897876643074	0.112676056338028	KEGG:05212	KEGG	Pancreatic cancer	17242	479
downregulated	FALSE	1	63	989	8	0.00808897876643074	0.126984126984127	KEGG:05211	KEGG	Renal cell carcinoma	17242	478
downregulated	FALSE	1	81	989	7	0.0070778564206269	0.0864197530864197	KEGG:05210	KEGG	Colorectal cancer	17242	477
downregulated	FALSE	1	197	989	11	0.0111223458038423	0.0558375634517767	KEGG:05208	KEGG	Chemical carcinogenesis - reactive oxygen species	17242	476
downregulated	FALSE	1	138	989	14	0.0141557128412538	0.101449275362319	KEGG:05207	KEGG	Chemical carcinogenesis - receptor activation	17242	475
downregulated	FALSE	1	163	989	17	0.0171890798786653	0.104294478527607	KEGG:05205	KEGG	Proteoglycans in cancer	17242	473
downregulated	FALSE	1	30	989	4	0.00404448938321537	0.133333333333333	KEGG:05204	KEGG	Chemical carcinogenesis - DNA adducts	17242	472
downregulated	FALSE	1	158	989	12	0.0121334681496461	0.0759493670886076	KEGG:05203	KEGG	Viral carcinogenesis	17242	471
downregulated	FALSE	1	133	989	11	0.0111223458038423	0.0827067669172932	KEGG:05202	KEGG	Transcriptional misregulation in cancer	17242	470
downregulated	FALSE	1	177	989	9	0.00910010111223458	0.0508474576271186	KEGG:05171	KEGG	Coronavirus disease - COVID-19	17242	468
downregulated	FALSE	1	75	989	8	0.00808897876643074	0.106666666666667	KEGG:05410	KEGG	Hypertrophic cardiomyopathy	17242	505
downregulated	FALSE	1	67	989	6	0.00606673407482305	0.0895522388059701	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	17242	506
downregulated	FALSE	1	174	989	8	0.00808897876643074	0.0459770114942529	KEGG:05415	KEGG	Diabetic cardiomyopathy	17242	508
downregulated	FALSE	1	158	989	14	0.0141557128412538	0.0886075949367089	KEGG:05417	KEGG	Lipid and atherosclerosis	17242	510
upregulated	TRUE	5.76734536834023e-10	181	1013	38	0.0375123395853899	0.209944751381215	KEGG:04820	KEGG	Cytoskeleton in muscle cells	17242	380
upregulated	TRUE	4.26241576124514e-08	172	1013	34	0.033563672260612	0.197674418604651	KEGG:04510	KEGG	Focal adhesion	17242	323
upregulated	TRUE	8.50920805502704e-06	126	1013	25	0.0246791707798618	0.198412698412698	KEGG:04518	KEGG	Integrin signaling	17242	327
upregulated	TRUE	4.68311481895379e-05	128	1013	24	0.0236920039486673	0.1875	KEGG:04390	KEGG	Hippo signaling pathway	17242	320
upregulated	TRUE	0.000126192406905524	256	1013	36	0.035538005923001	0.140625	KEGG:04519	KEGG	Cadherin signaling	17242	328
upregulated	TRUE	0.000277154886899828	70	1013	16	0.0157946692991115	0.228571428571429	KEGG:05146	KEGG	Amoebiasis	17242	454
upregulated	TRUE	0.000388964324487175	163	1013	26	0.0256663376110563	0.159509202453988	KEGG:05205	KEGG	Proteoglycans in cancer	17242	473
upregulated	TRUE	0.000744013758140664	59	1013	14	0.0138203356367226	0.23728813559322	KEGG:04974	KEGG	Protein digestion and absorption	17242	419
upregulated	TRUE	0.00131777014629772	96	1013	18	0.0177690029615005	0.1875	KEGG:04270	KEGG	Vascular smooth muscle contraction	17242	307
