GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0060525	prostate glandular acinus development	8	3	0.53	0.01283
GO:0019227	neuronal action potential propagation	8	3	0.53	0.01283
GO:0019233	sensory perception of pain	53	13	3.53	0.01284
GO:0044380	protein localization to cytoskeleton	65	6	4.33	0.01286
GO:0007584	response to nutrient	126	19	8.4	0.01294
GO:0044344	cellular response to fibroblast growth f...	84	13	5.6	0.01297
GO:0050768	negative regulation of neurogenesis	95	11	6.33	0.01315
GO:0002931	response to ischemia	48	8	3.2	0.01318
GO:0002053	positive regulation of mesenchymal cell ...	22	5	1.47	0.01322
GO:0090050	positive regulation of cell migration in...	22	5	1.47	0.01322
GO:0007389	pattern specification process	313	34	20.86	0.01417
GO:0046849	bone remodeling	67	12	4.47	0.01452
GO:0090102	cochlea development	34	8	2.27	0.01463
GO:2000010	positive regulation of protein localizat...	15	4	1	0.01480
GO:0035725	sodium ion transmembrane transport	102	17	6.8	0.01490
GO:0010634	positive regulation of epithelial cell m...	42	8	2.8	0.01499
GO:0007399	nervous system development	1976	206	131.72	0.01541
GO:0035249	synaptic transmission, glutamatergic	68	13	4.53	0.01561
GO:0035115	embryonic forelimb morphogenesis	23	5	1.53	0.01599
GO:0001975	response to amphetamine	23	5	1.53	0.01599
GO:0002052	positive regulation of neuroblast prolif...	23	5	1.53	0.01599
GO:0007528	neuromuscular junction development	48	6	3.2	0.01604
GO:0040011	locomotion	922	96	61.46	0.01629
GO:0001889	liver development	105	17	7	0.01655
GO:0000278	mitotic cell cycle	814	49	54.26	0.01673
GO:0007169	cell surface receptor protein tyrosine k...	517	51	34.46	0.01719
GO:0042475	odontogenesis of dentin-containing tooth	55	10	3.67	0.01732
GO:1900016	negative regulation of cytokine producti...	32	6	2.13	0.01756
GO:0060740	prostate gland epithelium morphogenesis	22	6	1.47	0.01817
GO:0035767	endothelial cell chemotaxis	24	5	1.6	0.01824
GO:0060973	cell migration involved in heart develop...	18	4	1.2	0.01828
GO:0060346	bone trabecula formation	9	3	0.6	0.01830
GO:0048672	positive regulation of collateral sprout...	9	3	0.6	0.01830
GO:0071361	cellular response to ethanol	9	3	0.6	0.01830
GO:0015816	glycine transport	9	3	0.6	0.01830
GO:0015801	aromatic amino acid transport	9	3	0.6	0.01830
GO:0060736	prostate gland growth	9	3	0.6	0.01830
GO:0032957	inositol trisphosphate metabolic process	9	3	0.6	0.01830
GO:0006171	cAMP biosynthetic process	9	3	0.6	0.01830
GO:0035999	tetrahydrofolate interconversion	9	3	0.6	0.01830
