GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0010819	regulation of T cell chemotaxis	8	0	0.54	1.00000
GO:0010820	positive regulation of T cell chemotaxis	8	0	0.54	1.00000
GO:0010826	negative regulation of centrosome duplic...	12	0	0.82	1.00000
GO:0010832	negative regulation of myotube different...	10	0	0.68	1.00000
GO:0010894	negative regulation of steroid biosynthe...	20	0	1.36	1.00000
GO:0010917	negative regulation of mitochondrial mem...	11	0	0.75	1.00000
GO:0010918	positive regulation of mitochondrial mem...	8	0	0.54	1.00000
GO:0010919	regulation of inositol phosphate biosynt...	6	0	0.41	1.00000
GO:0010921	regulation of phosphatase activity	6	0	0.41	1.00000
GO:0010952	positive regulation of peptidase activit...	7	0	0.48	1.00000
GO:0010958	regulation of amino acid import across p...	13	0	0.88	1.00000
GO:0010960	magnesium ion homeostasis	9	0	0.61	1.00000
GO:0010966	regulation of phosphate transport	6	0	0.41	1.00000
GO:0010968	regulation of microtubule nucleation	19	0	1.29	1.00000
GO:0010992	ubiquitin recycling	14	0	0.95	1.00000
GO:0010994	free ubiquitin chain polymerization	9	0	0.61	1.00000
GO:0014004	microglia differentiation	14	0	0.95	1.00000
GO:0014029	neural crest formation	13	0	0.88	1.00000
GO:0014820	tonic smooth muscle contraction	6	0	0.41	1.00000
GO:0014831	gastro-intestinal system smooth muscle c...	8	0	0.54	1.00000
GO:0014848	urinary tract smooth muscle contraction	6	0	0.41	1.00000
GO:0014912	negative regulation of smooth muscle cel...	22	0	1.5	1.00000
GO:0015074	DNA integration	8	0	0.54	1.00000
GO:0015669	gas transport	9	0	0.61	1.00000
GO:0015671	oxygen transport	8	0	0.54	1.00000
GO:0015727	lactate transport	6	0	0.41	1.00000
GO:0015801	aromatic amino acid transport	9	0	0.61	1.00000
GO:0015846	polyamine transport	12	0	0.82	1.00000
GO:0015858	nucleoside transport	8	0	0.54	1.00000
GO:0015871	choline transport	7	0	0.48	1.00000
GO:0015886	heme transport	9	0	0.61	1.00000
GO:0015919	peroxisomal membrane transport	21	0	1.43	1.00000
GO:0015936	coenzyme A metabolic process	17	0	1.16	1.00000
GO:0015937	coenzyme A biosynthetic process	10	0	0.68	1.00000
GO:0015942	formate metabolic process	6	0	0.41	1.00000
GO:0015959	diadenosine polyphosphate metabolic proc...	8	0	0.54	1.00000
GO:0015961	diadenosine polyphosphate catabolic proc...	6	0	0.41	1.00000
GO:0015986	proton motive force-driven ATP synthesis	73	0	4.97	1.00000
GO:0016045	detection of bacterium	10	0	0.68	1.00000
GO:0016048	detection of temperature stimulus	17	0	1.16	1.00000
GO:0016114	terpenoid biosynthetic process	13	0	0.88	1.00000
GO:0016137	glycoside metabolic process	15	0	1.02	1.00000
GO:0016139	glycoside catabolic process	6	0	0.41	1.00000
GO:0016180	snRNA processing	34	0	2.31	1.00000
GO:0016185	synaptic vesicle budding from presynapti...	10	0	0.68	1.00000
GO:0016188	synaptic vesicle maturation	24	0	1.63	1.00000
GO:0016198	axon choice point recognition	7	0	0.48	1.00000
GO:0016233	telomere capping	27	0	1.84	1.00000
GO:0016255	attachment of GPI anchor to protein	6	0	0.41	1.00000
GO:0016338	calcium-independent cell-cell adhesion v...	10	0	0.68	1.00000
GO:0016479	negative regulation of transcription by ...	11	0	0.75	1.00000
GO:0016540	protein autoprocessing	17	0	1.16	1.00000
GO:0016554	cytidine to uridine editing	6	0	0.41	1.00000
GO:0016558	protein import into peroxisome matrix	15	0	1.02	1.00000
GO:0016559	peroxisome fission	10	0	0.68	1.00000
GO:0016562	protein import into peroxisome matrix, r...	10	0	0.68	1.00000
GO:0016926	protein desumoylation	9	0	0.61	1.00000
GO:0017004	cytochrome complex assembly	43	0	2.93	1.00000
GO:0017062	respiratory chain complex III assembly	14	0	0.95	1.00000
GO:0017121	plasma membrane phospholipid scrambling	20	0	1.36	1.00000
GO:0017183	protein histidyl modification to diphtha...	7	0	0.48	1.00000
GO:0017185	peptidyl-lysine hydroxylation	8	0	0.54	1.00000
GO:0018022	peptidyl-lysine methylation	16	0	1.09	1.00000
GO:0018023	peptidyl-lysine trimethylation	6	0	0.41	1.00000
GO:0018026	peptidyl-lysine monomethylation	7	0	0.48	1.00000
GO:0018095	protein polyglutamylation	6	0	0.41	1.00000
GO:0018126	protein hydroxylation	15	0	1.02	1.00000
GO:0018146	keratan sulfate proteoglycan biosyntheti...	11	0	0.75	1.00000
GO:0018202	peptidyl-histidine modification	8	0	0.54	1.00000
GO:0018208	peptidyl-proline modification	8	0	0.54	1.00000
GO:0018342	protein prenylation	10	0	0.68	1.00000
GO:0018344	protein geranylgeranylation	7	0	0.48	1.00000
GO:0018393	internal peptidyl-lysine acetylation	6	0	0.41	1.00000
GO:0019042	viral latency	7	0	0.48	1.00000
GO:0019068	virion assembly	33	0	2.25	1.00000
GO:0019083	viral transcription	24	0	1.63	1.00000
GO:0019227	neuronal action potential propagation	8	0	0.54	1.00000
GO:0019262	N-acetylneuraminate catabolic process	6	0	0.41	1.00000
GO:0019367	fatty acid elongation, saturated fatty a...	7	0	0.48	1.00000
GO:0019368	fatty acid elongation, unsaturated fatty...	6	0	0.41	1.00000
GO:0019377	glycolipid catabolic process	17	0	1.16	1.00000
GO:0019388	galactose catabolic process	7	0	0.48	1.00000
GO:0019627	urea metabolic process	8	0	0.54	1.00000
GO:0019646	aerobic electron transport chain	86	0	5.85	1.00000
GO:0019682	glyceraldehyde-3-phosphate metabolic pro...	10	0	0.68	1.00000
GO:0019695	choline metabolic process	6	0	0.41	1.00000
GO:0019720	Mo-molybdopterin cofactor metabolic proc...	6	0	0.41	1.00000
GO:0019755	one-carbon compound transport	7	0	0.48	1.00000
GO:0019835	cytolysis	7	0	0.48	1.00000
GO:0019852	L-ascorbic acid metabolic process	11	0	0.75	1.00000
GO:0019883	antigen processing and presentation of e...	24	0	1.63	1.00000
GO:0019885	antigen processing and presentation of e...	21	0	1.43	1.00000
GO:0019896	axonal transport of mitochondrion	14	0	0.95	1.00000
GO:0019933	cAMP-mediated signaling	6	0	0.41	1.00000
GO:0021522	spinal cord motor neuron differentiation	16	0	1.09	1.00000
GO:0021533	cell differentiation in hindbrain	16	0	1.09	1.00000
GO:0021534	cell proliferation in hindbrain	7	0	0.48	1.00000
GO:0021535	cell migration in hindbrain	12	0	0.82	1.00000
GO:0021542	dentate gyrus development	18	0	1.22	1.00000
GO:0021548	pons development	7	0	0.48	1.00000
GO:0021554	optic nerve development	10	0	0.68	1.00000
